* 45/12/10  185 The Cistern
* 45/12/17  186 Lucky Night
  45/12/24  187 Right from the Heart
* 45/12/31  188 Miracle on 49th Street
* 46/01/07  189 The Thin Line
* 46/01/14  190 Hit and Run
* 46/01/21  191 Treasure Hunt
* 46/01/28  192 The Strange Sisters
* 46/02/04  193 Panic
* 46/02/11  194 Six Letter Word for Murder
  46/02/18  195 The Croupier's Wife
* 46/02/25  196 Murder in Haste
* 46/03/04  197 Decision
* 46/03/11  198 Boomerang
* 46/03/18  199 The Master's Touch
* 46/03/25  200 The Trigger Man
* 46/04/01  201 Three Times a Sinner
* 46/04/08  202 Terror Stricken
* 46/04/15  203 Smart Boy
* 46/04/22  204 Waterford Case
* 46/04/29  205 My Love Comes Home
* 46/05/06  206 Bright Horizon
  46/05/13  207 Mister Bidderoe's Mission
* 46/05/20  208 Broken Chain
  46/05/27  209 
* 46/06/03  210 The Judas Face
* 46/06/10  211 Quiet Sunday
* 46/06/17  212 Affair at Stoney Ridge
* 46/06/24  213 Blind Bet
* 46/07/01  214 Solid Citizen
* 46/07/08  215 The Confession 
* 46/07/15  216 Custom Built Blond
  46/07/22  217 Star Shadow
* 46/07/29  218 Sell-Out
* 46/08/05  219 Bullet Proof
* 46/08/12  220 Stolen Murder
* 46/08/19  221 Delivery Guaranteed
* 46/08/21      Broken Chain (East Coast Broadcast)
  46/08/26  222 Broken Chain 
* 46/09/02  223 Stranger in the House
  46/09/04      Where The Lines Cross (East Coast Broadcast)
* 46/09/08      A Brief Pause For Murder (Chicago Broadcast) (2)
* 46/09/09  224 Witness at the Fountain
* 46/09/11      A Brief Pause For Murder (East Coast Broadcast)
* 46/09/16  225 The Brass Ring
* 46/09/23  226 The Victim Smiled
  46/09/30  227 The Man Who Never Was
* 46/10/07  228 A Present for Ricky
* 46/10/14  229 Weak Sister
* 46/10/21  230 Masquerade
* 46/10/28  231 Backfire
  46/11/04  232 Return to the Sender
* 46/11/11  233 The Deadly Penny
  46/11/18  234 Kind Thought
* 46/11/25  235 Two Year Plan
* 46/12/02  236 Blind Impulse
* 46/12/09  237 With My Own Eyes
  46/12/16  238 A Mask for Kinsella
* 46/12/23  239 Next Year Is Mine
* 46/12/30  240 Murder on Rourke Island
* 47/01/06  241 Dear Roger
* 47/01/13  242 The Choice
* 47/01/20  243 Last Curtain
* 47/01/27  244 Night Melody
* 47/02/03  245 Seven Steps to Murder
* 47/02/10  246 Safety in Numbers
* 47/02/12      Seven Steps To Murder(East Coast Broadcast)
* 47/02/17  247 A Woman's Privilege
* 47/02/24  248 Eight to Twelve
* 47/03/03  249 Blue Legend
* 47/03/10  250 Murder of Byron Blake
* 47/03/17  251 Mavis Cameron Disappears
* 47/03/24  252 The Lady and the Knife
* 47/03/31  253 The Blank Wall 
* 47/04/02      Seven Steps to Murder (East Coast)
* 47/04/07  254 Sheriff Assistant
* 47/04/14  255 Maid of Honor
* 47/04/21  256 Backlash
* 47/04/28  257 The Black Book
* 47/05/05  258 Windfall 
* 47/05/12  259 18 Bowden Lane
* 47/05/19  260 Hasty Conclusion
* 47/05/26  261 Fateful Friday
* 47/06/02  262 Caesar's Wife
* 47/06/09  263 Juggernaut
* 47/06/16  264 Ambassador of Death
* 47/06/23  265 The Gentle Way
  47/07/02  266 The Big Pitch
* 47/07/09  267 The Two Lives of Colby Fletcher
* 47/07/16  268 Beyond Reasonable Doubt
  47/07/23  269 Stolen Empire
* 47/07/30  270 Borrowed Byline
* 47/08/06  271 Dark Future
* 47/08/13  272 Whispered Verdict
* 47/08/20  273 Girl Next Door
* 47/08/27  274 Curtain Call
* 47/09/03  275 The Eleventh Hour
* 47/09/10  276 Bridge on Black Mountain
* 47/09/17  277 Death and the Emperor
* 47/09/24  278 Sleep My Pretty One
  47/09/xx      Death And The Emperor (East Coast Broadcast of 47-9-17)
  47/10/01  279 The Other Hand
* 47/10/08  280 Career Man
* 47/10/15  281 Man of Distinction
* 47/10/22  282 A Case for Mister Carrington
* 47/10/29  283 The Back Door
* 47/11/05  284 The Big Prison
* 47/11/12  285 The Stolen Chance
* 47/11/19  286 Dark Moon
* 47/11/26  287 Body off Billingsgate
  47/11/xx      Stolen Chance (East Coast Broadcast of 47-11-12)
* 47/12/03  288 Professor and the Fox
* 47/12/10  289 Wedding Gift
* 47/12/17  290 Murder in Haste 
* 47/12/24  291 Decision 
* 47/12/31  292 The First Year
  47/12/xx      Professor And The Fox (East Coast Broadcast of 47-12-3)
* 48/01/07  293 Comeback
* 48/01/14  294 Silent Partner
* 48/01/21  295 Twelve Portraits of Marcia
* 48/01/28  296 Night Final
* 48/02/04  297 Undertow
* 48/02/11  298 Money Is The Root Of All Evil
* 48/02/18  299 Quiet Suicide
* 48/02/25  300 Meeting on Tenth Street
* 48/03/03  301 Boiling Point
* 48/03/10  302 Return Engagement
* 48/03/17  303 The Human Catalyst
* 48/03/24  304 The Dark Room
* 48/03/31  305 Bird of Prey
* 48/04/07  306 What Makes a Murderer 
* 48/04/14  307 Till Death Do Us Part 
* 48/04/21  308 Silent City
* 48/04/28  309 Tough Guy
* 48/05/05  310 Lady in Waiting
* 48/05/12  311 Chain Reaction
* 48/05/19  312 Murder on Margin
  48/05/26  313 Incident at Homsuey
* 48/06/02  314 Stranger in the House 
  48/06/09  315 Necklace Was Incidental
* 48/06/16  316 Concerto of Death
* 48/06/30  317 Small Town Girl
* 48/07/07  318 Fatal Appointment
  48/07/14      Pre-empted for Democratic Convention
* 48/07/21  319 Farewell Party
* 48/07/28  320 Lady from the Sea
* 48/08/04  321 Question of Murder
* 48/08/11  322 Enough Rope
* 48/08/18  323 Bright Future
* 48/08/25  324 Trio of Rogues
  48/08/xx      A Question Of Murder(East Coast Broadcast of 48-8-18)
* 48/09/01  325 Payment in Full
  48/09/08  326 Great Zantini
* 48/09/15  327 Uncle Ben's Widow
* 48/09/22  328 Still Death
* 48/09/29  329 Conspiracy
* 48/10/03  330 Big Gamble
* 48/10/10  331 Whirlpool
* 48/10/17  332 Package for Emily
* 48/10/24  333 Search for an Unknown
* 48/10/31  334 Letter from Yesterday
* 48/11/07  335 Cover Up
* 48/11/14  336 Nightmare
* 48/11/21  337 The Lovely Look
* 48/11/28  338 Murder in Paradise
* 48/12/05  339 Hired Alibi
* 48/12/12  340 Stormy Weather
* 48/12/19  341 The Hangtree Affair
* 48/12/26  342 Delayed Christmas Present
* 49/01/02  343 Man on the Roof
* 49/01/09  344 Tell Tale Brand
* 49/01/16  345 Shakedown
* 49/01/23  346 Impulse
* 49/01/30  347 All Damage Covered
* 49/02/06  348 The Cheat
* 49/02/13  349 Last Curtain 
* 49/02/20  350 Ticket to Paris
* 49/02/27  351 Grave Secret
  49/03/06  352 The Gingham Elephant
* 49/03/13  353 Search for Maxine
* 49/03/20  354 Death of Mr Penny
* 49/03/27  355 Beyond the Wall
* 49/04/03  356 Rawhide Coffin
* 49/04/10  357 Murder at Twin Pines
* 49/04/17  358 Sleep My Pretty One 
* 49/04/24  359 Mask for Kinsella
* 49/05/01  361 Solid Citizen 
* 49/05/08  362 Danger Is a Beautiful Blond 
* 49/05/15  363 Golden Opportunity
* 49/05/22  364 Fatal Fraud
* 49/05/29  365 Deal with Death
* 49/06/05  366 Letter to Melanie
* 49/06/12  367 Perfect Alibi
* 49/06/19  368 That Physical Fact
* 49/06/26  369 Final Decree
* 49/07/03  370 Panic on Mulberry Street
* 49/07/10  371 Front Man
* 49/07/17  372 Death in Sixteen Millimeter
* 49/07/24  373 The Hermit
* 49/07/31  374 Brotherly Hate
* 49/08/07  375 The Trigger Man  
* 49/08/14  376 Best Friend
* 49/08/21  377 The Confession 
* 49/08/28  378 Eager Pigeon
* 49/09/04  379 Smart Girl
* 49/09/11  380 Brief Pause for Murder 
* 49/09/18  381 Poor Henry
* 49/09/25  382 Incident at Arroyo Grande
* 49/10/02  383 A Woman's Privilege 
* 49/10/09  384 Rose for Pamela
* 49/10/16  385 Best Man
* 49/10/23  386 Debt of Honor
* 49/10/30  387 Ticket to Murder
* 49/11/06  388 The New Mrs Devlin
* 49/11/13  389 Incident at Pebble Cove
* 49/11/20  390 Letters from Aaron Burr
* 49/11/27  391 Clever Mister Farley
* 49/12/04  392 Impulse 
* 49/12/11  393 Swan Song
* 49/12/18  394 Patroness of Murder
* 49/12/25  395 Letter from Cynthia
* 50/01/01  396 Evening Stroll
* 50/01/08  397 Return to Riondo
* 50/01/15  398 Escape to Skull Island
* 50/01/22  399 The Go-Between
* 50/01/29  400 Burden of Guilt
* 50/02/05  401 Ladies Man
* 50/02/12  402 Desert Reckoning
* 50/02/19  403 Five Cent Call
* 50/02/26  404 Appointment for Murder
* 50/03/05  405 Chinese Elephant Puzzle
* 50/03/12  406 Strange Meeting
* 50/03/19  407 Oriana Affair
* 50/03/26  408 Lady in the Snow
* 50/04/02  409 Lady with a Key
* 50/04/09  410 Dark Voyage
* 50/04/16  411 Murder in Mind
* 50/04/23  412 Returned with the Spray
* 50/04/30  413 Gratitude
* 50/05/07  414 Fatal Error
* 50/05/14  415 Blue Alibi
* 50/05/21  416 The Return
  50/05/28  417 The Steal
* 50/06/04  418 Caesar's Wife
* 50/06/11  419 Rebound aka Successful Marriage
* 50/06/18  420 Jessica
* 50/06/25  421 Manhunt
* 50/07/02  422 Quiet Sunday 
* 50/07/09  423 Devoted Couple
* 50/07/16  424 Attorney for the Defense
* 50/07/23  425 Cliffs of Weyrum
* 50/07/30  426 With My Own Eyes 
* 50/08/06  427 Double Exposure
  50/08/13  428 Stolen Empire
* 50/08/20  429 Finale
* 50/08/27  430 Undercurrent
* 50/09/03  431 Whirlwind
* 50/09/10  432 Golden Penny
* 50/09/17  433 Deadly Rumor
* 50/09/24  434 That Hemsley Affair
* 50/10/01  435 Dear Diary
* 50/10/08  436 Fatal Action
* 50/10/15  437 Smart Boy
* 50/10/22  438 The Wall
* 50/10/29  439 The Intruder
* 50/11/05  440 Just Like a Man
* 50/11/12  441 A Friendly Case of Blackmail aka Hit And Run
* 50/11/19  442 Warm Reception
* 50/11/26  443 Till Death Do Us Part 
* 50/12/03  444 The Lady With the Knife
* 50/12/10  445 Clock on the Tower
* 50/12/17  446 Flee from Evil
* 50/12/24  447 Three Wise Guys
* 50/12/31  448 Big Jump
* 51/01/07  449 Hit and Run
* 51/01/14  450 The Little Things
* 51/01/21  451 Treasure Hunt 
* 51/01/28  452 Trade Mark
* 51/02/04  453 Murder over Burma
* 51/02/11  454 Spell in Green
* 51/02/18  455 Man in the Storm
* 51/02/25  456 Murder Arrangement
* 51/03/04  457 Helping Hand
* 51/03/11  458 High Death
* 51/03/18  459 Jackson Street Affair
* 51/03/25  460 His Own Reward
* 51/04/01  461 Man in a Corner
* 51/04/08  462 A Trip to Aunt Sarah's
* 51/04/15  463 Triple Cross
* 51/04/22  464 Kind Thought
* 51/04/29  465 Clayton Affair
* 51/05/06  466 Two and One Makes Murder
* 51/05/13  467 A Matter of Courtesy
* 51/05/20  468 Custom-Made Murder
* 51/05/27  469 Seattle Take Three
* 51/06/03  470 Tall Thin Man
* 51/06/10  471 Law of Physics
* 51/06/17  472 Man in the Trench Coat
* 51/06/24  473 Murder of Byron Blake
* 51/07/01  474 House on Hainsley Blvd
* 51/07/08  475 The Witness
  51/07/15  476 
* 51/07/22  477 Autumn Song
* 51/07/29  478 Danger Is a Beautiful Blond 
* 51/08/05  479 Design for Murder
* 51/08/12  480 Fateful Reminder
  51/08/19  481 Sequel to Death
* 51/08/26  482 She Never Would Be Missed
* 51/09/02  483 Public Hero
* 51/09/09  484 Guilty Conscience
* 51/09/16  485 A Matter of Patience
  51/09/23  486 The Third Grave
* 51/09/30  487 Two Smart People
  51/10/07  488 Wedding Bouquet
* 51/10/14  489 Partners in Crime
* 51/10/21  490 Alias Mister Alden
* 51/10/28  491 Doctor's Wife
* 51/11/04  492 Man on the Run
* 51/11/11  493 Three Minus One Equals Murder
  51/11/18  494 Love Match
* 51/11/25  495 The Clay Tree
* 51/12/02  496 End of the Road
* 51/12/09  497 The Other Hand
* 51/12/16  498 Curiosity Killed the Cat
* 51/12/23  499 Christmas Gift
* 51/12/30  500 Fatal Step
* 52/01/06  501 Episode at Thunder Mountain
  52/01/13  502 Man from the Morgue
* 52/01/20  503 Bad Penny
* 52/01/27  504 Borrowed Byline 
* 52/02/03  505 Shakedown  
* 52/02/10  506 Little Red Book
* 52/02/17  507 Rose for Pamela
* 52/02/24  508 A Matter of Time
* 52/03/02  509 Whirlpool 
* 52/03/09  510 Breakaway
* 52/03/16  511 Marked Man
* 52/03/23  512 Ski Master
* 52/03/30  513 Homecoming
